crunch_id,name,milestone_num,competitor_num,office_num,product_num,service_num,founding_round_num,total_money_raised,acquisition_num,investment_num,vc_num,num_exited_competitor,company_count,exited_company_count
23press,"23press",0,2,1,3,0,1,0.005,0,0,3,0,0,0
24-7-customer,"[24]7",0,0,8,0,0,0,0.0,0,0,0,0,2,0
24-rapid-response-service,"24-Rapid Response Service",0,0,0,0,0,0,0.0,0,0,0,0,0,0
247-fixers,"247 Fixers ®",0,0,1,0,0,0,0.0,0,0,0,0,0,0
247-learning-private,"24x7 Learning Private",0,0,1,0,0,1,0.4,0,0,1,0,0,0
24daydeals,"24Daydeals",0,0,0,0,0,0,0.0,0,0,0,0,1,0
24option,"24option",0,0,0,0,0,0,0.0,0,0,0,0,0,0
24symbols,"24Symbols",1,0,1,0,0,1,0.0,0,0,1,0,2,0
250ok,"250ok",0,0,1,2,1,1,0.02,0,0,0,0,1,0
27-bards,"27 bards",0,0,0,0,0,0,0.0,0,0,0,0,1,0
27-perry,"27 Perry",0,0,1,0,0,1,0.0118,0,0,1,0,2,0
280daily,"280daily",0,0,0,0,0,0,0.0,0,0,0,0,1,0
285-digital-media,"285 Digital Media",0,0,1,0,0,0,0.0,0,0,0,0,0,0
28msec,"28msec",0,0,2,1,0,0,0.0,0,0,0,0,0,0
28wins,"28wins",0,2,1,0,0,0,0.0,0,0,0,2,5,0
29-prime,"29 Prime",0,0,1,0,0,0,0.0,0,0,0,0,4,0
2adpro,"2AdPro",0,0,1,0,0,0,0.0,0,0,0,0,0,0
2bedone,"2BeDone",0,2,1,0,0,0,0.0,0,0,0,0,0,0
2big2send,"2Big2Send",0,4,1,2,0,0,0.0,0,0,0,1,1,0
2bkco,"2bkco",0,0,1,0,0,1,0.2,0,0,6,0,3,2
2can,"2can",0,5,1,0,0,1,0.2,0,0,2,0,0,0
2clams-studios,"2clams studios",0,0,1,0,0,0,0.0,0,0,0,0,0,0
2code-online,"2CODE Online",0,0,0,0,0,1,0.0,0,0,0,0,0,0
2crisk,"2CRisk",0,2,3,0,1,1,0.023,0,0,0,0,0,0
2dailydeals,"2DailyDeals",0,3,0,0,0,0,0.0,0,0,0,1,0,0
2daybiz,"2DayBiz",0,0,0,0,0,0,0.0,0,0,0,0,0,0
2degrees-social,"2 Degrees Social",2,0,2,0,0,0,0.0,0,0,0,0,3,0
2degreesmobile,"2degreesmobile",0,2,1,0,0,0,0.0,0,0,0,0,0,0
2face,"2Face",0,0,1,0,0,0,0.0,0,0,0,0,2,0
2fold20-play-ltd,"2Fold20 Play Ltd",0,0,1,0,0,0,0.0,0,0,0,0,0,0
2geeksinalab,"2GeeksinaLab",0,0,1,0,0,0,0.0,0,0,0,0,0,0
2go-software-solutions,"2GO Mobile Solutions",0,0,1,0,0,1,0.0825,0,0,0,0,3,0
2hat-media,"2Hat Media",0,0,0,0,0,0,0.0,0,0,0,0,0,0
2houses,"2houses",0,0,1,0,1,1,0.0675,0,0,1,0,1,0
2muse,"2muse",0,0,1,0,0,0,0.0,0,0,0,0,0,0
2nd-md,"2nd.MD",0,0,0,0,0,0,0.0,0,0,0,0,0,0
2nova-interactive,"2Nova Interactive",0,0,0,0,0,0,0.0,0,0,0,0,0,0
2pad,"2pad",0,1,1,0,0,0,0.0,0,0,0,1,5,0
2paperdolls,"2PaperDolls",0,0,1,1,0,0,0.0,0,0,0,0,4,0
2pay,"2Pay",0,3,1,1,0,0,0.0,0,0,0,0,0,0
2pg,"2pg",0,0,0,0,0,0,0.0,0,0,0,0,3,0
2playergames-co,"2playergames.co",0,1,0,0,0,0,0.0,0,0,0,0,0,0
2redbeans,"2RedBeans",0,0,1,0,0,0,0.0,0,0,0,0,2,0
2spaghi,"2Spaghi",0,1,1,0,0,0,0.0,0,0,0,1,0,0
2threads,"2threads",0,1,1,0,0,2,0.03,0,0,0,0,2,0
2vancouver,"2Vancouver",0,0,1,1,0,1,0.008,0,0,1,0,0,0
3-birds-marketing,"3 Birds Marketing",0,0,0,0,0,0,0.0,0,0,0,0,0,0
3-iqs,"3 IQs ",0,0,1,0,0,0,0.0,0,0,0,0,0,0
3-other-things,"3 Other Things",0,0,0,0,0,0,0.0,0,0,0,0,0,0
3-rings,"3-Rings",0,0,1,0,0,0,0.0,0,0,0,0,0,0
3-slips,"3 Slips",0,0,1,0,0,0,0.0,0,0,0,0,3,0
3-unlem-tasarim,"3 Unlem Tasarim",0,0,0,0,0,0,0.0,0,0,0,0,0,0
30-digits-gmbh,"30 Digits GmbH",0,0,1,0,0,0,0.0,0,0,0,0,0,0
30-second-software,"30 Second Software",0,0,1,0,0,1,0.55,0,0,2,0,0,0
310-labs,"310 Labs",0,0,0,0,0,0,0.0,0,0,0,0,0,0
31000emploi,"31000emploi",0,0,1,0,0,0,0.0,0,0,0,0,0,0
31hex,"31Hex",0,0,0,0,0,0,0.0,0,0,0,0,0,0
321answers,"321answers",0,4,0,0,0,0,0.0,0,0,0,2,0,0
321soft-studio,"321Soft Studio",0,0,0,0,0,0,0.0,0,0,0,0,0,0
321sortez,"321sortez",0,0,0,0,0,0,0.0,0,0,0,0,0,0
3220-publishing,"3220 Publishing",0,0,1,0,0,0,0.0,0,0,0,0,1,0
32bytes,"32bytes",0,0,1,0,0,0,0.0,0,0,0,0,0,0
32nd-degree,"32nd Degree",0,0,1,6,0,0,0.0,0,0,0,0,0,0
33across,"33Across",0,0,1,0,0,4,2.41,1,0,15,0,2,0
