crunch_id,milestone_num,competitor_num,office_num,product_num,service_num,founding_round_num,total_money_raised,acquisition_num,investment_num,vc_num,success
app-giveaway,0,0,0,0,0,0,0.0,0,0,0,0
app-help,1,0,1,0,0,0,0.0,0,0,0,0
app-in-the-air,0,2,0,0,0,1,0.015,0,0,1,0
app-promo,1,0,1,0,0,0,0.0,0,0,0,0
app-squad,0,0,1,0,0,0,0.0,0,0,0,0
appadia,0,0,1,0,0,0,0.0,0,0,0,0
appafone,0,3,1,0,0,0,0.0,0,0,0,0
apparchitect,0,6,0,0,0,0,0.0,0,0,0,0
appatista,1,0,1,0,0,0,0.0,0,0,0,0
appavior-media-corporation,0,0,0,0,0,0,0.0,0,0,0,0
appaware,0,0,1,0,0,0,0.0,0,0,0,0
appbackr,4,1,1,1,1,2,0.065,0,0,1,0
appbarbecue-inc,0,0,1,0,0,1,0.0,0,0,1,0
appboy,4,0,1,0,0,2,0.25,0,0,10,0
appcarousel,0,0,1,0,0,0,0.0,0,0,0,0
appcell-systems,1,0,1,0,0,0,0.0,0,0,0,0
appconomy,2,0,2,1,0,2,1.15,1,0,5,0
appcurate,0,0,1,0,1,0,0.0,0,0,0,0
appcurious,0,0,1,1,0,0,0.0,0,0,0,0
appdillo,0,0,0,0,0,0,0.0,0,0,0,0
appdisco-inc,0,0,1,0,0,0,0.0,0,0,0,0
appdiscover,1,0,0,0,0,0,0.0,0,0,0,0
appek,0,0,1,0,0,1,0.005,0,0,1,0
appency,0,1,1,0,0,0,0.0,0,0,0,0
appengo,0,0,1,0,0,0,0.0,0,0,0,0
apperian,2,1,1,0,0,5,2.8,0,0,12,0
appetizer-mobile,0,0,1,0,0,0,0.0,0,0,0,0
appfigures,5,0,1,1,0,0,0.0,0,0,0,0
appfutura,0,0,0,0,0,0,0.0,0,0,0,0
appglu,0,0,1,0,0,0,0.0,0,0,0,0
appgratis,0,0,0,0,0,1,1.35,0,0,1,0
appgreen,0,2,1,1,0,0,0.0,0,0,0,0
appgrooves,0,0,1,0,1,0,0.0,0,0,0,0
appguppy-mobile,0,1,1,0,0,0,0.0,0,0,0,0
appguppy,0,0,1,0,0,0,0.0,0,0,0,0
appgyver,0,4,1,0,0,0,0.0,0,0,0,0
apphance,0,0,1,0,0,0,0.0,0,0,0,1
apphappening,0,0,1,0,1,0,0.0,0,0,0,0
apphere,0,0,1,0,0,0,0.0,0,0,0,0
appia,2,0,1,0,0,6,3.48,1,0,9,0
appible,0,1,1,0,0,0,0.0,0,0,0,0
appifier,0,0,1,0,0,0,0.0,0,0,0,0
appingo,0,0,0,0,0,0,0.0,0,0,0,0
appizio,0,0,0,1,0,0,0.0,0,0,0,0
appizon,0,0,0,0,0,0,0.0,0,0,0,0
appjobber,0,0,1,0,0,0,0.0,0,0,0,0
appkey,0,0,1,0,1,0,0.0,0,0,0,0
applabs-digital-studios,0,0,1,0,0,0,0.0,0,0,0,0
applaunchpr,0,0,1,0,0,0,0.0,0,0,0,0
appliaison,0,0,0,0,0,0,0.0,0,0,0,0
applicat,0,0,0,0,0,0,0.0,0,0,0,0
applicationworx,0,0,1,0,0,0,0.0,0,0,0,0
applico,2,0,3,0,0,1,0.0,0,0,0,0
applicology,0,0,0,0,0,0,0.0,0,0,0,0
applified,0,0,1,0,0,0,0.0,0,0,0,0
applift-a-hitfox-group-company,0,0,1,0,0,0,0.0,0,0,0,0
applift,0,0,1,0,0,1,1.3,0,0,1,0
applika,0,0,2,0,0,1,0.0,0,0,0,0
