crunch_id,milestone_num,competitor_num,office_num,product_num,service_num,founding_round_num,total_money_raised,acquisition_num,investment_num,vc_num,num_exited_competitor,company_count,exited_company_count
52nd-west,0,0,2,0,0,0,0.0,0,0,0,0,4,0
52prints,0,0,2,0,0,0,0.0,0,0,0,0,0,0
530funds,0,2,1,0,0,0,0.0,0,0,0,0,0,0
54-freedom,10,0,1,0,0,0,0.0,0,0,0,0,0,0
541live,0,0,1,0,0,0,0.0,0,0,0,0,2,0
55social,0,0,2,0,0,1,0.3,0,0,2,0,0,0
55tuan-com,0,3,1,0,0,2,20.0,0,0,4,1,5,0
56cube,0,0,1,0,0,0,0.0,0,0,0,0,1,0
575-alive,0,0,1,0,0,0,0.0,0,0,0,0,2,0
58phases,0,0,1,0,0,0,0.0,0,0,0,0,2,0
5app,0,0,2,0,0,0,0.0,0,0,0,0,0,0
5barz-international,1,0,0,0,0,0,0.0,0,0,0,0,0,0
5conditions-com,0,3,0,0,0,0,0.0,0,0,0,1,0,0
5games-2,0,0,0,0,0,0,0.0,0,0,0,0,3,0
5gig,0,7,1,0,0,1,0.025,0,0,6,2,0,0
5ideas-in,0,1,1,0,2,0,0.0,0,0,0,0,2,0
5minutes,0,3,1,0,0,1,0.001,0,0,1,1,0,0
5ones,0,0,0,0,0,0,0.0,0,0,0,0,3,0
5reasonreviews-com,0,1,0,0,0,0,0.0,0,0,0,0,0,0
5rooms-com,0,0,1,0,0,0,0.0,0,0,0,0,0,0
5star-sms-nigeria,0,4,1,0,3,0,0.0,0,0,0,0,1,0
5th-finger,2,0,1,0,0,1,0.7,0,0,1,0,3,0
6-media,0,0,0,0,0,0,0.0,0,0,0,0,0,0
60-the-height-of-art,0,0,1,0,0,0,0.0,0,0,0,0,2,0
600block,0,0,1,0,0,0,0.0,0,0,0,0,2,0
62days-com,0,0,1,0,0,0,0.0,0,0,0,0,1,0
64-pixels,0,0,1,1,0,1,0.01,0,0,1,0,0,0
64clicks,0,0,2,0,0,0,0.0,0,0,0,0,0,0
6dgree,0,5,1,0,0,0,0.0,0,0,0,3,0,0
6fusion,0,0,1,0,0,2,1.0,0,0,3,0,1,0
6kare-bilgi-teknolojileri,0,0,0,0,0,0,0.0,0,0,0,0,0,0
6nema-com,0,2,1,0,0,0,0.0,0,0,0,2,5,0
6rounds,0,0,1,1,0,4,0.5,0,0,6,0,0,0
6stax,0,0,0,3,0,0,0.0,0,0,0,0,0,0
6taps,0,0,1,0,0,0,0.0,0,0,0,0,3,0
6tm-solutions,1,2,2,0,0,0,0.0,0,0,0,0,1,0
6waves-lolapps,1,0,1,0,0,0,0.0,4,0,0,0,0,0
6wunderkinder,6,0,1,7,0,4,0.47,0,0,2,0,7,0
6y-collective,0,0,0,0,0,0,0.0,0,0,0,0,0,0
7-regent-lane,4,0,0,0,0,0,0.0,0,0,0,0,0,0
702apps,0,0,1,0,0,0,0.0,0,0,0,0,0,0
70s-fancy-dress,0,0,0,0,0,0,0.0,0,0,0,0,0,0
